Image,Question,Answer,,,,,
Image_2.jpg,What is she doing?,She lies on sofa and using laptop.,,,,,
Image_2.jpg,Why is she using the laptop?,She uses laptop for entertainment.,,,,,
Image_5.jpg,What emotion does she show?,She is happy with a cheerful smile.,,,,,
Image_5.jpg,What is the woman doing?,She's celebrating while using a laptop.,,,,,
Image_7.jpg,How does his facial expression reflect his mood?,He looks calm and thoughtful.,,,,,
Image_7.jpg,What is the man doing?,He is sitting on a chair and drinking tea.,,,,,`
Image_12.jpg,What is he doing?,He drinks water from a bottle.,,,,,
Image_12.jpg,Does he appear to be enjoying the water?,"Yes, he seems refreshed and satisfied.",,,,,
Image_16.jpg,What activity is the woman performing?,She is drinking a glass of water.,,,,,
Image_16.jpg,How does she feel while drinking?,She feels calm and refreshed.,,,,,
Image_19.jpg,Is he working on a laptop?,"Yes, he works on a laptop.",,,,,
Image_19.jpg,How does he feel while working?,He feels relaxed and content.,,,,,
Image_42.jpg,Is he happy at work?,"Yes, he always smiles.",,,,,
Image_42.jpg,Why is he sitting on the floor with a laptop?,He might be working on a creative project.,,,,,
Image_43.jpg,What is she eating?,She is eating a slice of cake while listening to music.,,,,,
Image_43.jpg,How does the music affect her mood?,She seems relaxed and enjoying the moment.,,,,,
Image_49.jpg,Does she sit while working?,"Yes, she is sitting and working.",,,,,
Image_49.jpg,Does she appear comfortable with technology?,"Yes, she seems focused while using the laptop.",,,,,
Image_52.jpg,What is the boy doing?,He could be talking to his friend.,,,,,
Image_52.jpg,What emotion is seen on his face?,He looks serious and attentive.,,,,,
Image_76.jpg,Is he drinking whiskey with orange?,"No, he is drinking whiskey with lemon.",,,,,
Image_76.jpg,How does he feel while drinking?,He feels calm and relaxed.,,,,,
Image_79.jpg,Is he talking on the phone?,"Yes, he talks on the phone.",,,,,
Image_79.jpg,What feeling arises during his conversation?,A happy feeling arises.,,,,,
Image_83.jpg,What device is he operating?,He operates laptop in kitchen.,,,,,
Image_83.jpg,Does he seem focused while using it?,"Yes, he seems focused.",,,,,
